hcp_id,product_id,month,rx_count,list_price_usd,revenue_usd
HCP0001,PRD003,2025-01,4,950,3800
HCP0001,PRD004,2025-02,4,60,240
HCP0001,PRD002,2025-03,8,85,680
HCP0001,PRD004,2025-04,4,60,240
HCP0001,PRD002,2025-05,4,85,340
HCP0001,PRD003,2025-06,5,950,4750
HCP0001,PRD003,2025-07,4,950,3800
HCP0001,PRD005,2025-08,3,45,135
HCP0001,PRD003,2025-09,8,950,7600
HCP0001,PRD003,2025-10,3,950,2850
HCP0001,PRD005,2025-11,7,45,315
HCP0001,PRD004,2025-12,2,60,120
HCP0002,PRD004,2025-01,3,60,180
HCP0002,PRD003,2025-02,9,950,8550
HCP0002,PRD001,2025-03,13,120,1560
HCP0002,PRD001,2025-04,9,120,1080
HCP0002,PRD005,2025-05,5,45,225
HCP0002,PRD005,2025-06,8,45,360
HCP0002,PRD001,2025-07,7,120,840
HCP0002,PRD002,2025-08,3,85,255
HCP0002,PRD002,2025-09,8,85,680
HCP0002,PRD002,2025-10,9,85,765
HCP0002,PRD004,2025-11,7,60,420
HCP0002,PRD004,2025-12,7,60,420
HCP0003,PRD004,2025-01,11,60,660
HCP0003,PRD004,2025-02,18,60,1080
HCP0003,PRD003,2025-03,13,950,12350
HCP0003,PRD001,2025-04,10,120,1200
HCP0003,PRD003,2025-05,5,950,4750
HCP0003,PRD004,2025-06,5,60,300
HCP0003,PRD005,2025-07,10,45,450
HCP0003,PRD001,2025-08,14,120,1680
HCP0003,PRD003,2025-09,15,950,14250
HCP0003,PRD001,2025-10,20,120,2400
HCP0003,PRD003,2025-11,16,950,15200
HCP0003,PRD003,2025-12,17,950,16150
HCP0004,PRD005,2025-01,10,45,450
HCP0004,PRD002,2025-02,8,85,680
HCP0004,PRD003,2025-03,3,950,2850
HCP0004,PRD001,2025-04,9,120,1080
HCP0004,PRD002,2025-05,6,85,510
HCP0004,PRD005,2025-06,13,45,585
HCP0004,PRD003,2025-07,12,950,11400
HCP0004,PRD001,2025-08,16,120,1920
HCP0004,PRD004,2025-09,22,60,1320
HCP0004,PRD002,2025-10,3,85,255
HCP0004,PRD005,2025-11,14,45,630
HCP0004,PRD005,2025-12,18,45,810
HCP0006,PRD001,2025-01,6,120,720
HCP0006,PRD003,2025-02,7,950,6650
HCP0006,PRD003,2025-03,7,950,6650
HCP0006,PRD002,2025-04,5,85,425
HCP0006,PRD004,2025-05,1,60,60
HCP0006,PRD004,2025-06,4,60,240
HCP0006,PRD001,2025-07,1,120,120
HCP0006,PRD003,2025-08,5,950,4750
HCP0006,PRD004,2025-09,6,60,360
HCP0006,PRD004,2025-10,3,60,180
HCP0006,PRD002,2025-11,4,85,340
HCP0006,PRD005,2025-12,2,45,90
HCP0007,PRD003,2025-01,4,950,3800
HCP0007,PRD004,2025-02,7,60,420
HCP0007,PRD004,2025-03,6,60,360
HCP0007,PRD004,2025-04,9,60,540
HCP0007,PRD003,2025-05,1,950,950
HCP0007,PRD005,2025-06,5,45,225
HCP0007,PRD005,2025-07,3,45,135
HCP0007,PRD005,2025-08,4,45,180
HCP0007,PRD003,2025-09,7,950,6650
HCP0007,PRD002,2025-10,3,85,255
HCP0007,PRD005,2025-11,7,45,315
HCP0007,PRD005,2025-12,6,45,270
HCP0008,PRD004,2025-01,7,60,420
HCP0008,PRD003,2025-02,8,950,7600
HCP0008,PRD001,2025-03,3,120,360
HCP0008,PRD004,2025-04,5,60,300
HCP0008,PRD003,2025-05,8,950,7600
HCP0008,PRD001,2025-06,15,120,1800
HCP0008,PRD005,2025-07,3,45,135
HCP0008,PRD002,2025-08,10,85,850
HCP0008,PRD001,2025-09,4,120,480
HCP0008,PRD004,2025-10,5,60,300
HCP0008,PRD001,2025-11,7,120,840
HCP0008,PRD002,2025-12,5,85,425
HCP0009,PRD005,2025-01,6,45,270
HCP0009,PRD002,2025-02,3,85,255
HCP0009,PRD001,2025-03,2,120,240
HCP0009,PRD001,2025-04,3,120,360
HCP0009,PRD005,2025-05,3,45,135
HCP0009,PRD005,2025-06,4,45,180
HCP0009,PRD005,2025-07,8,45,360
HCP0009,PRD001,2025-08,3,120,360
HCP0009,PRD002,2025-09,1,85,85
HCP0009,PRD005,2025-10,4,45,180
HCP0009,PRD002,2025-11,1,85,85
HCP0009,PRD003,2025-12,4,950,3800
HCP0010,PRD004,2025-01,7,60,420
HCP0010,PRD005,2025-02,11,45,495
HCP0010,PRD004,2025-03,6,60,360
HCP0010,PRD002,2025-04,7,85,595
HCP0010,PRD004,2025-05,1,60,60
HCP0010,PRD005,2025-06,6,45,270
HCP0010,PRD005,2025-07,7,45,315
HCP0010,PRD005,2025-08,9,45,405
HCP0010,PRD002,2025-09,2,85,170
HCP0010,PRD003,2025-10,3,950,2850
HCP0010,PRD004,2025-11,5,60,300
HCP0010,PRD002,2025-12,5,85,425
HCP0011,PRD004,2025-01,3,60,180
HCP0011,PRD002,2025-02,4,85,340
HCP0011,PRD001,2025-03,1,120,120
HCP0011,PRD001,2025-04,4,120,480
HCP0011,PRD005,2025-05,3,45,135
HCP0011,PRD001,2025-06,1,120,120
HCP0011,PRD004,2025-07,1,60,60
HCP0011,PRD002,2025-08,4,85,340
HCP0011,PRD004,2025-09,3,60,180
HCP0011,PRD003,2025-10,1,950,950
HCP0011,PRD005,2025-12,4,45,180
HCP0012,PRD003,2025-01,8,950,7600
HCP0012,PRD002,2025-02,7,85,595
HCP0012,PRD001,2025-03,4,120,480
HCP0012,PRD003,2025-04,7,950,6650
HCP0012,PRD003,2025-05,12,950,11400
HCP0012,PRD002,2025-06,8,85,680
HCP0012,PRD002,2025-07,9,85,765
HCP0012,PRD001,2025-08,16,120,1920
HCP0012,PRD005,2025-09,9,45,405
HCP0012,PRD005,2025-10,9,45,405
HCP0012,PRD005,2025-11,10,45,450
HCP0012,PRD005,2025-12,8,45,360
HCP0013,PRD001,2025-01,5,120,600
HCP0013,PRD001,2025-02,7,120,840
HCP0013,PRD005,2025-03,6,45,270
HCP0013,PRD001,2025-04,2,120,240
HCP0013,PRD004,2025-05,6,60,360
HCP0013,PRD005,2025-06,5,45,225
HCP0013,PRD003,2025-07,8,950,7600
HCP0013,PRD003,2025-08,6,950,5700
HCP0013,PRD004,2025-09,4,60,240
HCP0013,PRD002,2025-10,8,85,680
HCP0013,PRD005,2025-11,3,45,135
HCP0013,PRD005,2025-12,5,45,225
HCP0014,PRD003,2025-01,4,950,3800
HCP0014,PRD002,2025-02,19,85,1615
HCP0014,PRD001,2025-03,7,120,840
HCP0014,PRD003,2025-05,10,950,9500
HCP0014,PRD004,2025-07,5,60,300
HCP0014,PRD005,2025-08,5,45,225
HCP0014,PRD003,2025-09,2,950,1900
HCP0014,PRD005,2025-10,5,45,225
HCP0014,PRD001,2025-11,9,120,1080
HCP0014,PRD005,2025-12,5,45,225
HCP0015,PRD005,2025-01,7,45,315
HCP0015,PRD003,2025-02,5,950,4750
HCP0015,PRD004,2025-03,8,60,480
HCP0015,PRD005,2025-04,3,45,135
HCP0015,PRD005,2025-05,7,45,315
HCP0015,PRD002,2025-06,7,85,595
HCP0015,PRD004,2025-07,6,60,360
