call_id,hcp_id,rep_id,call_date,product_discussed,call_duration_min,samples_dropped
CALL000001,HCP0001,REP013,2025-10-29,PRD005,6,3
CALL000002,HCP0001,REP013,2025-10-01,PRD002,17,1
CALL000003,HCP0001,REP013,2025-05-13,PRD002,10,0
CALL000004,HCP0001,REP013,2025-05-01,PRD001,12,3
CALL000005,HCP0001,REP013,2025-12-30,PRD003,29,0
CALL000006,HCP0002,REP030,2025-12-14,PRD002,20,2
CALL000007,HCP0002,REP030,2025-12-22,PRD004,6,2
CALL000008,HCP0002,REP030,2025-06-08,PRD005,25,0
CALL000009,HCP0003,REP001,2025-01-22,PRD005,6,1
CALL000010,HCP0003,REP001,2025-03-03,PRD002,21,0
CALL000011,HCP0003,REP001,2025-01-21,PRD003,18,2
CALL000012,HCP0003,REP001,2025-02-25,PRD001,10,2
CALL000013,HCP0003,REP001,2025-01-29,PRD003,13,1
CALL000014,HCP0003,REP001,2025-04-04,PRD001,28,0
CALL000015,HCP0003,REP001,2025-10-18,PRD003,15,1
CALL000016,HCP0003,REP001,2025-11-28,PRD004,20,1
CALL000017,HCP0004,REP028,2025-01-12,PRD004,16,0
CALL000018,HCP0004,REP028,2025-10-28,PRD005,24,0
CALL000019,HCP0004,REP028,2025-12-20,PRD005,25,0
CALL000020,HCP0004,REP028,2025-06-20,PRD005,23,0
CALL000021,HCP0004,REP028,2025-03-12,PRD004,8,2
CALL000022,HCP0004,REP028,2025-12-21,PRD004,11,0
CALL000023,HCP0004,REP028,2025-01-28,PRD003,6,2
CALL000024,HCP0004,REP028,2025-01-03,PRD002,13,0
CALL000025,HCP0004,REP028,2025-11-21,PRD002,14,2
CALL000026,HCP0004,REP028,2025-12-25,PRD003,25,0
CALL000027,HCP0005,REP014,2025-01-15,PRD001,21,2
CALL000028,HCP0005,REP014,2025-02-18,PRD004,12,1
CALL000029,HCP0006,REP009,2025-10-05,PRD001,15,1
CALL000030,HCP0006,REP009,2025-06-23,PRD002,10,3
CALL000031,HCP0007,REP006,2025-12-05,PRD004,24,1
CALL000032,HCP0007,REP006,2025-11-21,PRD005,28,1
CALL000033,HCP0007,REP006,2025-04-29,PRD001,23,1
CALL000034,HCP0008,REP006,2025-02-26,PRD005,10,0
CALL000035,HCP0008,REP006,2025-01-28,PRD004,17,2
CALL000036,HCP0008,REP006,2025-06-21,PRD003,25,1
CALL000037,HCP0009,REP012,2025-10-23,PRD003,28,0
CALL000038,HCP0010,REP017,2025-04-04,PRD004,23,2
CALL000039,HCP0010,REP017,2025-12-29,PRD005,26,1
CALL000040,HCP0010,REP017,2025-07-14,PRD004,12,0
CALL000041,HCP0011,REP019,2025-07-17,PRD005,22,0
CALL000042,HCP0011,REP019,2025-09-01,PRD002,21,2
CALL000043,HCP0011,REP019,2025-10-25,PRD001,5,0
CALL000044,HCP0011,REP019,2025-06-07,PRD004,28,0
CALL000045,HCP0012,REP023,2025-02-22,PRD004,26,1
CALL000046,HCP0012,REP023,2025-12-18,PRD003,22,1
CALL000047,HCP0012,REP023,2025-11-14,PRD002,16,1
CALL000048,HCP0012,REP023,2025-12-04,PRD002,11,0
CALL000049,HCP0012,REP023,2025-02-17,PRD003,13,2
CALL000050,HCP0012,REP023,2025-03-30,PRD003,7,1
CALL000051,HCP0013,REP028,2025-03-04,PRD004,10,0
CALL000052,HCP0013,REP028,2025-10-27,PRD001,5,2
CALL000053,HCP0013,REP028,2025-01-18,PRD002,9,2
CALL000054,HCP0013,REP028,2025-01-03,PRD004,16,1
CALL000055,HCP0013,REP028,2025-10-11,PRD004,21,0
CALL000056,HCP0014,REP011,2025-08-05,PRD002,23,0
CALL000057,HCP0014,REP011,2025-11-03,PRD002,9,1
CALL000058,HCP0014,REP011,2025-03-21,PRD002,23,0
CALL000059,HCP0014,REP011,2025-03-14,PRD001,11,0
CALL000060,HCP0014,REP011,2025-11-16,PRD002,11,2
CALL000061,HCP0015,REP024,2025-07-05,PRD005,28,2
CALL000062,HCP0015,REP024,2025-11-14,PRD003,7,1
CALL000063,HCP0015,REP024,2025-04-21,PRD003,28,1
CALL000064,HCP0016,REP002,2025-09-13,PRD001,17,1
CALL000065,HCP0016,REP002,2025-04-30,PRD003,26,0
CALL000066,HCP0016,REP002,2025-10-23,PRD003,16,2
CALL000067,HCP0016,REP002,2025-09-10,PRD005,13,0
CALL000068,HCP0016,REP002,2025-07-27,PRD005,28,1
CALL000069,HCP0016,REP002,2025-05-25,PRD005,7,1
CALL000070,HCP0017,REP029,2025-03-26,PRD005,6,3
CALL000071,HCP0017,REP029,2025-02-15,PRD004,29,0
CALL000072,HCP0017,REP029,2025-06-12,PRD004,11,0
CALL000073,HCP0017,REP029,2025-06-15,PRD005,27,0
CALL000074,HCP0017,REP029,2025-10-10,PRD002,26,1
CALL000075,HCP0017,REP029,2025-06-09,PRD001,12,1
CALL000076,HCP0018,REP022,2025-08-21,PRD005,9,1
CALL000077,HCP0018,REP022,2025-04-17,PRD002,19,0
CALL000078,HCP0018,REP022,2025-09-09,PRD002,27,0
CALL000079,HCP0019,REP007,2025-06-20,PRD003,9,1
CALL000080,HCP0019,REP007,2025-11-12,PRD005,24,1
CALL000081,HCP0019,REP007,2025-01-28,PRD002,17,0
CALL000082,HCP0020,REP007,2025-05-21,PRD004,6,3
CALL000083,HCP0020,REP007,2025-06-15,PRD003,13,3
CALL000084,HCP0021,REP010,2025-08-27,PRD002,15,2
CALL000085,HCP0021,REP010,2025-11-01,PRD002,8,2
CALL000086,HCP0021,REP010,2025-08-24,PRD001,7,1
CALL000087,HCP0021,REP010,2025-04-03,PRD001,29,2
CALL000088,HCP0021,REP010,2025-08-03,PRD003,6,2
CALL000089,HCP0022,REP013,2025-06-20,PRD005,14,0
CALL000090,HCP0022,REP013,2025-05-25,PRD005,21,0
CALL000091,HCP0022,REP013,2025-11-29,PRD003,14,1
CALL000092,HCP0023,REP029,2025-05-05,PRD003,20,0
CALL000093,HCP0023,REP029,2025-08-06,PRD004,19,2
CALL000094,HCP0023,REP029,2025-06-13,PRD003,25,2
CALL000095,HCP0023,REP029,2025-09-26,PRD002,10,2
CALL000096,HCP0024,REP004,2025-02-07,PRD003,26,2
CALL000097,HCP0024,REP004,2025-10-04,PRD004,12,2
CALL000098,HCP0024,REP004,2025-06-09,PRD001,20,1
CALL000099,HCP0025,REP030,2025-02-15,PRD004,20,1
CALL000100,HCP0025,REP030,2025-10-26,PRD001,29,0
CALL000101,HCP0025,REP030,2025-08-06,PRD005,23,0
CALL000102,HCP0025,REP030,2025-11-02,PRD005,9,2
CALL000103,HCP0025,REP030,2025-09-08,PRD001,18,0
CALL000104,HCP0025,REP030,2025-10-04,PRD003,5,0
CALL000105,HCP0025,REP030,2025-07-06,PRD001,26,0
CALL000106,HCP0026,REP030,2025-06-30,PRD004,5,0
CALL000107,HCP0026,REP030,2025-06-07,PRD005,24,3
CALL000108,HCP0026,REP030,2025-03-18,PRD003,18,2
CALL000109,HCP0026,REP030,2025-03-21,PRD004,17,3
CALL000110,HCP0026,REP030,2025-03-19,PRD002,7,3
CALL000111,HCP0026,REP030,2025-03-22,PRD003,21,0
CALL000112,HCP0027,REP022,2025-12-25,PRD001,14,0
CALL000113,HCP0027,REP022,2025-10-31,PRD003,16,0
CALL000114,HCP0027,REP022,2025-11-23,PRD005,20,1
CALL000115,HCP0027,REP022,2025-11-27,PRD004,24,1
CALL000116,HCP0027,REP022,2025-12-11,PRD004,17,0
CALL000117,HCP0027,REP022,2025-03-10,PRD004,29,1
CALL000118,HCP0027,REP022,2025-07-07,PRD003,5,0
CALL000119,HCP0027,REP022,2025-06-04,PRD003,17,0
CALL000120,HCP0028,REP001,2025-08-27,PRD002,25,0
CALL000121,HCP0028,REP001,2025-01-20,PRD005,26,0
CALL000122,HCP0028,REP001,2025-06-06,PRD004,23,2
CALL000123,HCP0028,REP001,2025-12-27,PRD005,6,1
CALL000124,HCP0029,REP006,2025-10-12,PRD005,22,0
CALL000125,HCP0029,REP006,2025-08-18,PRD004,7,1
CALL000126,HCP0029,REP006,2025-02-05,PRD002,15,0
CALL000127,HCP0029,REP006,2025-11-15,PRD001,21,0
CALL000128,HCP0029,REP006,2025-01-25,PRD001,29,0
CALL000129,HCP0029,REP006,2025-03-01,PRD001,19,0
CALL000130,HCP0030,REP012,2025-11-23,PRD003,18,3
CALL000131,HCP0030,REP012,2025-11-13,PRD002,10,0
CALL000132,HCP0030,REP012,2025-11-28,PRD004,20,3
CALL000133,HCP0030,REP012,2025-03-18,PRD004,27,1
CALL000134,HCP0031,REP025,2025-02-06,PRD004,7,0
CALL000135,HCP0031,REP025,2025-04-05,PRD001,6,3
CALL000136,HCP0031,REP025,2025-08-18,PRD001,23,0
CALL000137,HCP0031,REP025,2025-12-25,PRD001,6,0
CALL000138,HCP0031,REP025,2025-01-21,PRD004,19,3
CALL000139,HCP0031,REP025,2025-06-30,PRD005,14,2
CALL000140,HCP0031,REP025,2025-09-24,PRD003,29,2
CALL000141,HCP0031,REP025,2025-07-02,PRD003,17,0
CALL000142,HCP0032,REP025,2025-08-17,PRD004,18,1
CALL000143,HCP0032,REP025,2025-04-11,PRD002,15,2
CALL000144,HCP0032,REP025,2025-04-27,PRD002,29,3
CALL000145,HCP0032,REP025,2025-03-12,PRD001,23,1
CALL000146,HCP0032,REP025,2025-10-05,PRD003,27,3
CALL000147,HCP0032,REP025,2025-08-19,PRD003,23,1
CALL000148,HCP0032,REP025,2025-01-03,PRD004,13,0
CALL000149,HCP0032,REP025,2025-11-16,PRD001,19,3
CALL000150,HCP0032,REP025,2025-05-20,PRD004,12,0
CALL000151,HCP0033,REP008,2025-08-17,PRD005,11,1
CALL000152,HCP0033,REP008,2025-06-10,PRD001,10,0
CALL000153,HCP0033,REP008,2025-11-13,PRD002,10,0
CALL000154,HCP0033,REP008,2025-08-05,PRD001,12,1
CALL000155,HCP0033,REP008,2025-01-30,PRD005,10,2
CALL000156,HCP0033,REP008,2025-06-18,PRD002,11,3
CALL000157,HCP0033,REP008,2025-08-20,PRD003,27,1
CALL000158,HCP0033,REP008,2025-02-24,PRD001,17,1
CALL000159,HCP0034,REP001,2025-06-20,PRD001,17,3
CALL000160,HCP0034,REP001,2025-12-06,PRD003,10,0
CALL000161,HCP0035,REP023,2025-09-18,PRD002,11,0
CALL000162,HCP0035,REP023,2025-12-17,PRD003,15,0
CALL000163,HCP0035,REP023,2025-06-24,PRD001,22,0
CALL000164,HCP0036,REP002,2025-03-22,PRD004,15,1
CALL000165,HCP0036,REP002,2025-03-19,PRD003,20,0
CALL000166,HCP0037,REP013,2025-11-17,PRD003,6,0
CALL000167,HCP0037,REP013,2025-12-30,PRD003,12,0
CALL000168,HCP0038,REP004,2025-08-15,PRD002,22,0
CALL000169,HCP0038,REP004,2025-10-08,PRD001,5,1
CALL000170,HCP0038,REP004,2025-12-11,PRD004,8,0
CALL000171,HCP0039,REP013,2025-03-21,PRD005,13,3
CALL000172,HCP0039,REP013,2025-03-08,PRD003,21,0
CALL000173,HCP0039,REP013,2025-12-18,PRD005,23,3
CALL000174,HCP0039,REP013,2025-01-17,PRD001,6,2
CALL000175,HCP0040,REP015,2025-08-07,PRD002,9,3
CALL000176,HCP0041,REP006,2025-04-28,PRD003,5,1
CALL000177,HCP0041,REP006,2025-11-10,PRD003,16,1
CALL000178,HCP0041,REP006,2025-01-31,PRD003,16,2
CALL000179,HCP0041,REP006,2025-08-01,PRD005,29,2
CALL000180,HCP0041,REP006,2025-10-25,PRD005,24,1
CALL000181,HCP0041,REP006,2025-06-15,PRD001,12,1
CALL000182,HCP0042,REP029,2025-01-01,PRD001,18,3
CALL000183,HCP0042,REP029,2025-10-06,PRD004,13,0
CALL000184,HCP0042,REP029,2025-01-06,PRD002,17,3
CALL000185,HCP0043,REP010,2025-05-21,PRD004,9,0
CALL000186,HCP0043,REP010,2025-06-05,PRD002,22,1
CALL000187,HCP0043,REP010,2025-11-07,PRD001,5,2
CALL000188,HCP0043,REP010,2025-12-07,PRD001,15,3
CALL000189,HCP0043,REP010,2025-07-14,PRD004,23,2
CALL000190,HCP0043,REP010,2025-05-05,PRD002,27,0
CALL000191,HCP0044,REP030,2025-12-01,PRD003,28,1
CALL000192,HCP0044,REP030,2025-05-02,PRD004,14,0
CALL000193,HCP0044,REP030,2025-12-12,PRD003,20,0
CALL000194,HCP0044,REP030,2025-06-17,PRD001,20,1
CALL000195,HCP0045,REP021,2025-04-19,PRD005,22,0
CALL000196,HCP0045,REP021,2025-04-12,PRD001,10,1
CALL000197,HCP0046,REP030,2025-06-02,PRD001,27,1
CALL000198,HCP0046,REP030,2025-03-16,PRD002,19,0
CALL000199,HCP0046,REP030,2025-11-07,PRD002,26,0
CALL000200,HCP0047,REP011,2025-04-08,PRD004,20,0
CALL000201,HCP0047,REP011,2025-08-01,PRD003,29,0
CALL000202,HCP0047,REP011,2025-01-13,PRD002,9,2
CALL000203,HCP0048,REP026,2025-02-11,PRD003,15,3
CALL000204,HCP0048,REP026,2025-10-20,PRD004,27,0
CALL000205,HCP0048,REP026,2025-08-03,PRD003,9,0
CALL000206,HCP0048,REP026,2025-11-17,PRD003,16,0
CALL000207,HCP0049,REP023,2025-05-12,PRD003,12,2
CALL000208,HCP0049,REP023,2025-10-13,PRD002,18,1
CALL000209,HCP0049,REP023,2025-08-16,PRD003,15,1
CALL000210,HCP0049,REP023,2025-07-16,PRD005,11,0
CALL000211,HCP0049,REP023,2025-03-10,PRD001,25,2
CALL000212,HCP0050,REP015,2025-11-20,PRD004,18,1
CALL000213,HCP0050,REP015,2025-03-16,PRD003,9,1
CALL000214,HCP0050,REP015,2025-04-21,PRD003,21,0
